PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition at 7.44 uM
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 7.44 micromolar.
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,7.44
122,310294378,117085753,Active,55,,,40.73
123,310287366,117079192,Active,55,,,40.67
124,310285179,117076554,Active,55,,,40.59
125,310297726,117088885,Active,55,,,40.53
126,310298511,117089629,Active,55,,,40.44
127,310285013,117076309,Active,55,,,40.42
128,310297328,117088509,Active,55,,,40.38
129,310287087,117078933,Active,54,,,40.25
130,310292532,117084029,Active,54,,,40.16
131,310294133,117085524,Active,54,,,40.06
132,310297032,117088228,Active,54,,,40.04
133,310290719,117082338,Active,54,,,40
134,310300050,117091095,Active,54,,,39.87
135,310291664,117083217,Active,54,,,39.85
136,310298713,117089819,Active,54,,,39.84
137,310285689,136962235,Active,54,,,39.8
138,310300528,117091549,Active,54,,,39.77
139,310285160,117076525,Active,54,,,39.69
140,310295853,117086627,Active,53,,,39.57
141,310292845,117084325,Active,53,,,39.24
142,310303171,117094034,Active,53,,,39.22
143,310286440,117078108,Active,53,,,39.21
144,310286554,117078297,Active,53,,,39.2
145,310292176,117083691,Active,53,,,39.16
146,310286617,117078418,Active,53,,,39.09
147,310293313,117084754,Active,52,,,38.85
148,310293106,117084566,Active,52,,,38.85
149,310291323,117082893,Active,52,,,38.82
150,310300491,117091512,Active,52,,,38.76
151,310292249,117083760,Active,52,,,38.76
152,310297437,117088608,Active,52,,,38.74
153,310292659,117084148,Active,52,,,38.68
154,310285401,117076850,Active,52,,,38.66
155,162008204,71295822,Active,52,,,38.65
156,310301968,117092913,Active,52,,,38.65
157,310288897,117080611,Active,52,,,38.64
158,310284651,25221253,Active,52,,,38.56
159,310282594,136962124,Active,52,,,38.26
160,310293622,117085041,Active,51,,,38.16
161,310302813,117093699,Active,51,,,38.13
162,310283176,117074331,Active,51,,,38.11
163,310289142,117080847,Active,51,,,38.03
164,310283470,117074764,Active,51,,,37.99
165,310292263,117083773,Active,51,,,37.97
166,310300321,117091351,Active,51,,,37.92
167,310285032,117076334,Active,51,,,37.84
168,310286715,117078593,Active,51,,,37.74
169,310286870,117078725,Active,51,,,37.74
170,310298861,117089958,Active,51,,,37.73
171,310293804,117085213,Active,51,,,37.72
172,310286453,117078128,Active,51,,,37.67
173,310286914,117078762,Active,51,,,37.66
174,310285220,117076607,Active,51,,,37.49
175,310295138,117086456,Active,51,,,37.42
176,310300627,117091641,Active,50,,,37.41
177,310295872,117087145,Active,50,,,37.31
178,310295080,117086403,Active,50,,,37.31
179,310302532,117093438,Active,50,,,37.29
180,310294628,117085985,Active,50,,,37.1
181,310285983,90667123,Active,50,,,37.1
182,310293116,117084574,Active,50,,,37.04
183,310285954,117077453,Active,50,,,37.04
184,310300286,117091317,Active,50,,,37.04
185,310296166,117087420,Active,50,,,37.02
186,310289082,117080790,Active,50,,,36.99
187,310295390,117086692,Active,50,,,36.95
188,310297356,117088533,Active,50,,,36.86
189,310295725,117087009,Active,50,,,36.84
190,310303591,117094430,Active,50,,,36.81
191,310294599,117085960,Active,50,,,36.78
192,310301740,117092700,Active,50,,,36.75
193,310300618,117091632,Active,50,,,36.75
194,310296000,117087265,Active,50,,,36.69
195,310289057,117080767,Active,49,,,36.67
196,310287927,117079694,Active,49,,,36.64
197,310286124,117077664,Active,49,,,36.61
198,310291591,117083147,Active,49,,,36.54
199,310287220,57841757,Active,49,,,36.36
200,310295268,117086581,Active,49,,,36.33
201,310291856,117083395,Active,49,,,36.27
202,310293369,117084806,Active,49,,,36.24
203,310289043,117080753,Active,49,,,36.24
204,310293533,117084960,Active,49,,,36.2
205,310285158,117076521,Active,49,,,36.17
206,310303722,117094551,Active,49,,,36.13
207,310288707,117080431,Active,49,,,36.08
208,310287284,117079115,Active,49,,,36.04
209,310294039,117085431,Active,48,,,35.9
210,310300858,117091864,Active,48,,,35.83
211,310284225,117075483,Active,48,,,35.78
212,310286363,117077991,Active,48,,,35.6
213,310288372,117080107,Active,48,,,35.58
214,310291587,117083143,Active,48,,,35.56
215,310296254,117087503,Active,48,,,35.55
216,310292288,117083797,Active,48,,,35.51
217,310289651,117081331,Inactive,48,,,35.43
218,310290027,117081696,Inactive,48,,,35.41
219,310292888,117084366,Inactive,48,,,35.24
220,310285605,117077114,Inactive,47,,,35.16
221,310296568,117087794,Inactive,47,,,35.15
222,310287202,117079040,Inactive,47,,,35.11
223,310301500,117092478,Inactive,47,,,35.07
224,310293069,117084531,Inactive,47,,,35.05
225,310296593,117087818,Inactive,47,,,35.02
226,310301672,117092640,Inactive,47,,,34.99
227,310292152,117083670,Inactive,47,,,34.84
228,310285154,117076513,Inactive,47,,,34.81
229,310292694,117084181,Inactive,47,,,34.72
230,310290026,117081695,Inactive,47,,,34.64
231,310291948,117083483,Inactive,47,,,34.59
232,310295466,117086764,Inactive,47,,,34.59
233,310288712,117080436,Inactive,47,,,34.55
234,310300279,117091311,Inactive,47,,,34.53
235,310292613,117084106,Inactive,47,,,34.49
236,310286935,117078777,Inactive,46,,,34.47
237,310294550,117085917,Inactive,46,,,34.46
238,310292713,117084199,Inactive,46,,,34.41
239,310301574,117092545,Inactive,46,,,34.17
240,310297930,117089076,Inactive,46,,,34.15
241,310284562,117075974,Inactive,46,,,34.04
242,310289738,117081417,Inactive,46,,,34.03
243,310288466,117080198,Inactive,46,,,34.01
244,310292315,117083824,Inactive,46,,,34.01
245,310300284,117091315,Inactive,46,,,34
246,310285170,117076538,Inactive,46,,,33.95
247,310286365,117077994,Inactive,46,,,33.92
248,310286706,136962277,Inactive,46,,,33.87
249,310292550,117084047,Inactive,46,,,33.84
250,310286160,136962238,Inactive,46,,,33.83
251,310300065,117091108,Inactive,46,,,33.82
252,310294142,117085533,Inactive,45,,,33.73
253,310303672,117094503,Inactive,45,,,33.71
254,310294271,112918856,Inactive,45,,,33.69
255,310287418,117079239,Inactive,45,,,33.67
256,310284578,117075999,Inactive,45,,,33.63
257,310288089,117079842,Inactive,45,,,33.55
258,310288572,117080301,Inactive,45,,,33.46
259,310300549,117091567,Inactive,45,,,33.45
260,310292207,117083718,Inactive,45,,,33.44
261,310283325,117074586,Inactive,45,,,33.43
262,310292763,117084247,Inactive,45,,,33.4
263,310300487,117091508,Inactive,45,,,33.4
264,310290582,117082208,Inactive,45,,,33.37
265,310286437,117078102,Inactive,45,,,33.36
266,310291659,117083212,Inactive,45,,,33.34
267,310292311,117083820,Inactive,45,,,33.23
268,310293190,117084641,Inactive,45,,,33.22
269,310301587,117092558,Inactive,45,,,33.22
270,310292672,117084161,Inactive,45,,,33.19
271,310298435,117089556,Inactive,45,,,33.15
272,310297125,117088315,Inactive,45,,,33.13
273,310285880,117077394,Inactive,45,,,33.11
274,310292189,117083702,Inactive,45,,,33.07
275,310283909,25222038,Inactive,45,,,33.07
276,310292313,117083822,Inactive,45,,,33.05
277,310286607,117078398,Inactive,45,,,33.04
278,310297425,117088599,Inactive,45,,,33.02
279,310286737,117078622,Inactive,45,,,33.02
280,310290321,117081965,Inactive,44,,,33.02
281,310291494,117083055,Inactive,44,,,33.01
282,310295300,117086609,Inactive,44,,,33.01
283,310294638,117085995,Inactive,44,,,32.98
284,310287035,136962304,Inactive,44,,,32.97
285,310295763,117087042,Inactive,44,,,32.91
286,310293800,117085209,Inactive,44,,,32.9
287,310286805,25062763,Inactive,44,,,32.9
288,310286620,117078423,Inactive,44,,,32.86
289,310296087,117087346,Inactive,44,,,32.86
290,310286122,117077662,Inactive,44,,,32.84
291,310299813,117090870,Inactive,44,,,32.81
292,310300299,117091330,Inactive,44,,,32.77
293,310284224,117075481,Inactive,44,,,32.66
294,310285178,117076552,Inactive,44,,,32.66
295,310300835,117091841,Inactive,44,,,32.62
296,310292043,117083571,Inactive,44,,,32.61
297,310293103,117084563,Inactive,44,,,32.61
298,310297475,117088646,Inactive,44,,,32.59
299,310285718,117077251,Inactive,44,,,32.56
300,310297326,117088507,Inactive,44,,,32.54
301,310289007,117080718,Inactive,44,,,32.42
302,310286315,117077923,Inactive,44,,,32.38
303,310298922,117090015,Inactive,44,,,32.33
304,310293343,117084780,Inactive,44,,,32.33
305,310294260,117085645,Inactive,44,,,32.33
306,310291064,117082655,Inactive,44,,,32.32
307,310285052,117076364,Inactive,44,,,32.3
308,310293261,117084708,Inactive,43,,,32.27
309,310297358,117088535,Inactive,43,,,32.25
310,310291710,117083257,Inactive,43,,,32.24
311,310286863,117078718,Inactive,43,,,32.24
312,310300886,117091892,Inactive,43,,,32.21
313,310298602,117089714,Inactive,43,,,32.16
314,310303168,117094031,Inactive,43,,,32.12
315,310285177,117076550,Inactive,43,,,32.12
316,310286123,117077663,Inactive,43,,,32.01
317,310284319,117075620,Inactive,43,,,31.97
318,310293397,117084833,Inactive,43,,,31.96
319,310291578,117083134,Inactive,43,,,31.95
320,310290514,117082143,Inactive,43,,,31.94
321,310303465,117094311,Inactive,43,,,31.94
322,310301437,117092416,Inactive,43,,,31.94
323,310295929,117087199,Inactive,43,,,31.92
324,310293461,117084892,Inactive,43,,,31.9
